update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
12957,0.994476,0.940970,nan,0.090326,nan,2.515728
12958,0.656922,0.720256,-24.033964,0.090315,50.639503,1.797874
12959,0.782768,0.831785,nan,0.090315,nan,2.065168
12960,0.745478,0.810476,-22.816021,0.090305,50.530289,1.997574
12961,0.792215,0.930143,nan,0.090305,nan,2.061295
12962,0.660650,0.607430,-23.974936,0.090294,50.586197,1.809348
12963,0.939094,0.948784,nan,0.090294,nan,2.321682
12964,0.533906,0.532855,-23.376659,0.090283,50.058949,1.529455
12965,0.847826,0.873944,nan,0.090283,nan,2.184005
12966,0.839322,0.791373,-23.749725,0.090273,51.665230,2.165112
12967,0.785925,0.735102,nan,0.090273,nan,2.065976
12968,0.775106,0.639772,-22.381226,0.090262,49.523430,1.999710
12969,0.846209,0.758256,nan,0.090262,nan,2.143732
12970,1.287954,0.837951,-22.049919,0.090252,51.402893,3.059959
12971,0.908171,0.782059,nan,0.090252,nan,2.316537
12972,0.630854,0.532605,-24.218872,0.090241,51.612537,1.713816
12973,1.005689,1.019303,nan,0.090241,nan,2.498354
12974,1.322065,0.875883,-23.985292,0.090230,50.327415,3.165008
12975,0.876194,0.828026,nan,0.090230,nan,2.234367
12976,0.837219,0.728484,-24.868769,0.090220,52.145161,2.178720
12977,0.918975,1.066819,nan,0.090220,nan,2.362191
12978,0.779579,1.029105,-23.073460,0.090209,49.811287,2.052571
12979,0.807715,0.717088,nan,0.090209,nan,2.087263
12980,0.973771,0.746559,-24.694017,0.090199,50.662113,2.416684
12981,1.001224,1.151829,nan,0.090199,nan,2.483776
12982,0.719718,0.793174,-23.600243,0.090188,50.206261,1.920822
12983,0.828432,0.731888,nan,0.090188,nan,2.164294
12984,0.680862,0.668455,-23.449795,0.090177,52.576393,1.845302
12985,0.843103,0.889681,nan,0.090177,nan,2.154864
12986,0.650816,0.795231,-23.373381,0.090167,49.838074,1.778770
12987,0.683403,0.986345,nan,0.090167,nan,1.798442
12988,0.586961,0.689299,-23.221001,0.090156,49.893677,1.613652
12989,0.890001,0.983474,nan,0.090156,nan,2.197207
12990,0.593136,0.735318,-24.295082,0.090146,51.669342,1.616683
12991,0.748242,0.770336,nan,0.090146,nan,1.938244
12992,0.797706,0.957232,-24.769054,0.090135,52.035301,2.075490
12993,0.852435,0.900807,nan,0.090135,nan,2.202430
12994,0.718103,0.684605,-23.274338,0.090125,50.732780,1.928567
12995,0.774851,0.809858,nan,0.090125,nan,2.033432
12996,0.484866,0.492736,-23.016571,0.090114,51.754204,1.449538
12997,1.275224,0.935242,nan,0.090114,nan,3.071387
12998,1.186509,1.059900,-23.958118,0.090103,51.181400,2.890597
12999,0.525290,0.656935,nan,0.090103,nan,1.513161
13000,0.595287,0.572901,-23.221905,0.090093,51.283401,1.665140
13001,0.686023,0.661598,nan,0.090093,nan,1.808333
13002,0.763845,0.649521,-22.489746,0.090082,50.528736,1.993913
13003,0.804451,0.609113,nan,0.090082,nan,2.063619
13004,0.957590,0.929924,-24.198708,0.090072,51.491173,2.367442
13005,0.912449,0.945221,nan,0.090072,nan,2.301342
13006,0.823124,0.883276,-23.914906,0.090061,49.048096,2.113295
13007,0.771698,0.837359,nan,0.090061,nan,1.977237
13008,0.594057,0.668168,-22.688641,0.090050,50.423309,1.642161
13009,0.710428,0.709845,nan,0.090050,nan,1.866112
13010,0.717334,0.677596,-23.284412,0.090040,47.929691,1.884743
13011,0.996523,1.054591,nan,0.090040,nan,2.480679
13012,0.711603,0.689810,-23.407221,0.090030,49.909950,1.907092
13013,0.857526,0.802841,nan,0.090030,nan,2.219194
13014,0.980200,0.872505,-23.649979,0.090019,49.839756,2.419811
13015,0.439309,0.426148,nan,0.090019,nan,1.293748
13016,0.726133,0.691407,-23.802118,0.090009,51.353142,1.897817
13017,0.666858,0.677148,nan,0.090009,nan,1.767307
13018,0.740792,0.718466,-22.835567,0.089998,51.305099,1.901820
13019,0.563637,0.525256,nan,0.089998,nan,1.559122
13020,0.663199,0.715287,-23.832140,0.089988,50.621918,1.788994
13021,0.821223,0.872491,nan,0.089988,nan,2.116203
13022,0.804186,0.811782,-23.341827,0.089977,51.307343,2.077370
13023,0.575550,0.538590,nan,0.089977,nan,1.595595
13024,0.464046,0.456085,-23.679949,0.089967,50.834915,1.374506
13025,0.621505,0.675348,nan,0.089967,nan,1.689492
13026,0.492607,0.610137,-22.504776,0.089956,50.823967,1.425393
13027,0.519338,0.555282,nan,0.089956,nan,1.499510
13028,0.649330,0.575684,-23.122429,0.089946,52.265137,1.742113
13029,0.683873,0.645623,nan,0.089946,nan,1.821581
13030,0.517245,0.581751,-23.249605,0.089935,52.036011,1.462752
13031,0.514044,0.580676,nan,0.089935,nan,1.448360
13032,0.804923,0.650008,-22.821075,0.089925,51.328304,2.083447
13033,0.707307,0.696157,nan,0.089925,nan,1.890086
13034,0.451179,0.471536,-23.166769,0.089914,51.778008,1.329961
13035,0.779984,0.806489,nan,0.089914,nan,2.012432
13036,0.817160,0.817209,-22.120190,0.089904,49.922867,2.092322
13037,0.639030,0.710422,nan,0.089904,nan,1.713717
